,ret,expo,turnover,strat
2014-01-01,0.038799841038548166,0.35688669063798784,0.35688669063798784,0.013311816829570463
2014-01-02,0.032147821318812886,0.35688669063798784,0.0,0.011473129561692485
2014-01-03,0.02395601680256987,0.35688669063798784,0.0,0.008549583557537191
2014-01-04,0.09195332955272151,0.35688669063798784,0.0,0.032816919477215066
2014-01-05,0.015734806629834175,0.35688669063798784,0.0,0.0056155430659501895
2014-01-06,-0.14603367999651884,0.35688669063798784,0.0,-0.05211747677564453
2014-01-07,0.04898089171974518,0.35688669063798784,0.0,0.017480628350357477
2014-01-08,0.0015908676908129582,0.20879284354391148,0.14809384709407636,0.00011002101822585919
2014-01-09,0.033767399000921516,0.20879284354391148,0.0,0.007050391256484239
2014-01-10,0.0515827869717691,0.20879284354391148,0.0,0.0107701167697555
2014-01-11,-0.05859980593136227,0.20879284354391148,0.0,-0.012235220111530498
2014-01-12,-0.02493928084829089,0.20879284354391148,0.0,-0.005207143364254868
2014-01-13,-0.008517618469015775,0.20879284354391148,0.0,-0.0017784177803679415
2014-01-14,0.030821456145295967,0.20879284354391148,0.0,0.00643529947074031
2014-01-15,-0.03179018950471979,0.1799713230221912,0.028821520521720267,-0.005764554745073178
2014-01-16,-0.02111984282907653,0.1799713230221912,0.0,-0.0038009660559696406
2014-01-17,0.016056196688409408,0.1799713230221912,0.0,0.0028896549607175664
2014-01-18,0.039592592592592624,0.1799713230221912,0.0,0.007125531270767502
2014-01-19,-0.019060173144750503,0.1799713230221912,0.0,-0.003430284577892787
2014-01-20,-0.0013680056172974409,0.1799713230221912,0.0,-0.00024620178084680983
2014-01-21,-0.006897889415558356,0.1799713230221912,0.0,-0.0012414222841788066
2014-01-22,-0.0087890625,0.1905488970295252,0.010577574007334,-0.0016906125263095625
2014-01-23,-0.039408866995073843,0.1905488970295252,0.0,-0.007509316139094581
2014-01-24,0.03435897435897428,0.1905488970295252,0.0,0.006547064667168288
2014-01-25,0.009853743182945074,0.1905488970295252,0.0,0.0018776198951223869
2014-01-26,-0.07707885854556606,0.1905488970295252,0.0,-0.014687291480152407
2014-01-27,0.04794201742137094,0.1905488970295252,0.0,0.009135298541012516
2014-01-28,0.007880710659898593,0.1905488970295252,0.0,0.0015016607240524987
2014-01-29,0.007277672152201431,0.24749003769435376,0.056941140664828555,0.001715739644278238
2014-01-30,0.0037625470318378706,0.24749003769435376,0.0,0.0009311929067363334
2014-01-31,0.012739726027397369,0.24749003769435376,0.0,0.0031529552747363147
2014-02-01,0.0021642093872582535,0.24749003769435376,0.0,0.0005356202628310194
2014-02-02,-0.007963287893102966,0.24749003769435376,0.0,-0.001970834420835044
2014-02-03,-0.006815089672232544,0.24749003769435376,0.0,-0.0016866667998712333
2014-02-04,-0.025728838466232418,0.24749003769435376,0.0,-0.0063676312018398
2014-02-05,-0.023442792683394553,0.3343488450699084,0.08685880737555465,-0.007968358869969602
2014-02-06,-0.07719996335030566,0.3343488450699084,0.0,-0.025811718585613954
2014-02-07,-0.03477964851562387,0.3343488450699084,0.0,-0.011628535313136196
2014-02-08,0.01011036165116308,0.3343488450699084,0.0,0.0033803877413054683
2014-02-09,0.0006401210410695857,0.3343488450699084,0.0,0.00021402373078656338
2014-02-10,-0.0184789404050536,0.3343488450699084,0.0,-0.006178412382545337
2014-02-11,-0.03423196563472075,0.3343488450699084,0.0,-0.011445418174441677
2014-02-12,-0.07343670915198086,0.4300643652559691,0.09571552018606067,-0.03172608498821296
2014-02-13,0.10741421264339279,0.4300643652559691,0.0,0.04619502517995041
2014-02-14,-0.019686098654708495,0.4300643652559691,0.0,-0.008466289522303596
2014-02-15,-0.05310827501029236,0.4300643652559691,0.0,-0.02283997658214083
2014-02-16,0.0203864734299517,0.4300643652559691,0.0,0.008767495755459858
2014-02-17,-0.009405674967648103,0.4300643652559691,0.0,-0.004045045634765539
2014-02-18,-0.007471722160267702,0.4300643652559691,0.0,-0.0032133214482244874
2014-02-19,-0.09815251761608956,0.5839758892225606,0.15391152396659152,-0.057549571040238834
2014-02-20,0.03468835653009639,0.5839758892225606,0.0,0.020257163850332254
2014-02-21,0.05079556205384006,0.5839758892225606,0.0,0.029663383518951005
2014-02-22,-0.0012932163436353283,0.5839758892225606,0.0,-0.0007552071642315894
2014-02-23,-0.12227704109229787,0.5839758892225606,0.0,-0.07140684380337824
2014-02-24,-0.0009150497675026736,0.5839758892225606,0.0,-0.0005343670016602712
2014-02-25,0.09390654205607474,0.5839758892225606,0.0,0.05483915640101203
2014-02-26,-0.003827489576925691,0.7219065146000381,0.13793062537747747,-0.0029699855982126162
2014-02-27,-0.05336192109777016,0.7219065146000381,0.0,-0.03852231847205349
2014-02-28,0.028248382829911822,0.7219065146000381,0.0,0.020392691591829205
2014-03-01,-0.002185099034327176,0.7219065146000381,0.0,-0.0015774372279270404
2014-03-02,0.19682466798530673,0.7219065146000381,0.0,0.14208901005258248
2014-03-03,-0.006920568401481586,0.7219065146000381,0.0,-0.004996003413764729
2014-03-04,-0.00447251114413072,0.7219065146000381,0.0,-0.0032287349315692363
2014-03-05,-0.0006268750279854185,0.7921576421272778,0.07025112752723972,-0.00060196053536826
2014-03-06,-0.05493077646847988,0.7921576421272778,0.0,-0.04351383436749158
2014-03-07,-0.020212076676306423,0.7921576421272778,0.0,-0.01601115100239864
2014-03-08,0.032258064516129004,0.7921576421272778,0.0,0.02555347232668636
2014-03-09,-0.016578125,0.7921576421272778,0.0,-0.013132488410891277
2014-03-10,0.00430575636727637,0.7921576421272778,0.0,0.003410837811476162
2014-03-11,0.004508780256288647,0.7921576421272778,0.0,0.003571664736691638
2014-03-12,0.00954405858729035,0.8098348088816579,0.017677166754380136,0.0077025951118620565
2014-03-13,-0.01652080310759585,0.8098348088816579,0.0,-0.013379121427211385
2014-03-14,0.010818184702262146,0.8098348088816579,0.0,0.00876094254080294
2014-03-15,-0.00353085179838053,0.8098348088816579,0.0,-0.002859406691330955
2014-03-16,-0.021858611946644846,0.8098348088816579,0.0,-0.017701864828229455
2014-03-17,-0.014667289208030843,0.8098348088816579,0.0,-0.011878081352597662
2014-03-18,-0.0013071895424835445,0.8098348088816579,0.0,-0.001058607593309263
