metric,source,rows,bad_rows,min_lag,max_lag
fng,alternative_me,3151,3151,0.0,0.0
DiffMean,blockchain_info,6461,0,1.0,1.0
FeeTotUSD,blockchain_info,6450,0,1.0,1.0
RevUSD,blockchain_info,6450,0,1.0,1.0
AdrActCnt,coinmetrics,10543,0,1.0,1.0
AdrBalCnt,coinmetrics,10543,0,1.0,1.0
BlkCnt,coinmetrics,10543,0,1.0,1.0
CapMVRVCur,coinmetrics,9973,0,1.0,1.0
CapMrktCurUSD,coinmetrics,9973,0,1.0,1.0
FeeTotNtv,coinmetrics,10543,0,1.0,1.0
FlowInExNtv,coinmetrics,9702,0,1.0,1.0
FlowInExUSD,coinmetrics,9693,0,1.0,1.0
FlowOutExNtv,coinmetrics,9702,0,1.0,1.0
FlowOutExUSD,coinmetrics,9693,0,1.0,1.0
HashRate,coinmetrics,9069,0,1.0,1.0
IssTotNtv,coinmetrics,10537,0,1.0,1.0
IssTotUSD,coinmetrics,9973,0,1.0,1.0
PriceBTC,coinmetrics,10534,0,1.0,1.0
PriceUSD,coinmetrics,9973,0,1.0,1.0
ROI1yr,coinmetrics,9243,0,1.0,1.0
ROI30d,coinmetrics,9913,0,1.0,1.0
SplyCur,coinmetrics,10543,0,1.0,1.0
SplyExNtv,coinmetrics,9702,0,1.0,1.0
SplyExUSD,coinmetrics,9693,0,1.0,1.0
TxCnt,coinmetrics,10543,0,1.0,1.0
TxTfrCnt,coinmetrics,10543,0,1.0,1.0
volume_reported_spot_usd_1d,coinmetrics,9973,0,1.0,1.0
dex_volume_usd,defillama,4600,0,1.0,1.0
protocol_fees_usd,defillama,3102,0,1.0,1.0
stablecoin_mcap,defillama,3219,0,1.0,1.0
stablecoin_mcap_arbitrum,defillama,1915,0,1.0,1.0
stablecoin_mcap_base,defillama,1134,0,1.0,1.0
stablecoin_mcap_bsc,defillama,2164,0,1.0,1.0
stablecoin_mcap_ethereum,defillama,3219,0,1.0,1.0
stablecoin_mcap_solana,defillama,1595,0,1.0,1.0
stablecoin_mcap_tron,defillama,2716,0,1.0,1.0
total_tvl,defillama,3282,0,1.0,1.0
etf_flow_musd,farside,1244,0,1.0,1.0
BAMLH0A0HYM2,fred,785,0,1.0,1.0
DFF,fred,26378,0,1.0,1.0
DFII10,fred,5933,0,1.0,1.0
DTWEXBGS,fred,5193,0,1.0,1.0
M2SL,fred,811,0,30.0,30.0
NFCI,fred,2906,0,1.0,1.0
RRPONTSYD,fred,3330,0,1.0,1.0
SP500,fred,2512,0,1.0,1.0
T10Y2Y,fred,12573,0,1.0,1.0
T10YIE,fred,5934,0,1.0,1.0
VIXCLS,fred,9277,0,1.0,1.0
WALCL,fred,1240,0,8.0,8.0
WRESBAL,fred,1240,0,8.0,8.0
WTREGEN,fred,1240,0,8.0,8.0
funding_rate_daily,okx,194,194,0.0,0.0
okx_contract_volume_usd,okx,360,0,1.0,1.0
okx_long_short_account_ratio,okx,360,0,1.0,1.0
okx_oi_usd_all_contracts,okx,360,0,1.0,1.0
okx_taker_buy_usd,okx,144,0,1.0,1.0
okx_taker_sell_usd,okx,144,0,1.0,1.0
perp_close,okx,4912,4912,0.0,0.0
perp_high,okx,4912,4912,0.0,0.0
perp_low,okx,4912,4912,0.0,0.0
perp_open,okx,4912,4912,0.0,0.0
perp_spot_basis,okx,4912,4912,0.0,0.0
perp_volume,okx,4912,4912,0.0,0.0
perp_volume_quote,okx,4912,4912,0.0,0.0
spot_close,okx,6352,6352,0.0,0.0
spot_high,okx,6352,6352,0.0,0.0
spot_low,okx,6352,6352,0.0,0.0
spot_open,okx,6352,6352,0.0,0.0
spot_volume,okx,6352,6352,0.0,0.0
spot_volume_quote,okx,6352,6352,0.0,0.0
